payment_id,order_id,payment_date,payment_amount,payment_method,payment_status
12951,1295,2024-02-24,350.00,wallet,paid
12971,1297,2024-02-26,942.00,transfer,paid
12981,1298,2024-02-27,502.00,wallet,paid
12991,1299,2024-02-28,187.00,card,paid
13021,1302,2024-03-02,538.00,card,paid
13031,1303,2024-03-03,467.00,transfer,paid
13051,1305,2024-03-05,777.00,card,paid
13091,1309,2024-03-09,678.00,transfer,paid
13101,1310,2024-03-10,574.00,wallet,paid
13111,1311,2024-03-11,283.00,card,paid
13131,1313,2024-03-13,889.00,wallet,paid
13141,1314,2024-03-14,610.00,card,paid
13171,1317,2024-03-17,681.00,card,paid
13181,1318,2024-03-18,622.00,transfer,paid
13191,1319,2024-03-19,326.00,wallet,paid
13211,1321,2024-03-21,654.00,transfer,paid
13251,1325,2024-03-25,817.00,wallet,paid
13261,1326,2024-03-26,682.00,card,paid
13271,1327,2024-03-27,587.00,transfer,paid
13301,1330,2024-03-30,574.00,transfer,paid
13311,1331,2024-03-31,254.00,wallet,paid
13331,1333,2024-04-02,750.00,transfer,paid
13341,1334,2024-04-03,718.00,wallet,paid
13351,1335,2024-04-04,355.00,card,paid
13371,1337,2024-04-06,1105.00,wallet,paid
13381,1338,2024-04-07,634.00,card,paid
13391,1339,2024-04-08,347.00,transfer,paid
13421,1342,2024-04-11,406.00,transfer,paid
13451,1345,2024-04-14,846.00,transfer,paid
13461,1346,2024-04-15,670.00,wallet,paid
13471,1347,2024-04-16,331.00,card,paid
13491,1349,2024-04-18,913.00,wallet,paid
13511,1351,2024-04-20,467.00,transfer,paid
13531,1353,2024-04-22,513.00,card,paid
13541,1354,2024-04-23,718.00,transfer,paid
13551,1355,2024-04-24,350.00,wallet,paid
13591,1359,2024-04-28,187.00,card,paid
13611,1361,2024-01-01,601.00,wallet,paid
13621,1362,2024-01-02,538.00,card,paid
13631,1363,2024-01-03,467.00,transfer,paid
13651,1365,2024-01-05,777.00,card,paid
13661,1366,2024-01-06,550.00,transfer,paid
13671,1367,2024-01-07,518.00,wallet,paid
13691,1369,2024-01-09,678.00,transfer,paid
13701,1370,2024-01-10,574.00,wallet,paid
13731,1373,2024-01-13,889.00,wallet,paid
13771,1377,2024-01-17,681.00,card,paid
13791,1379,2024-01-19,326.00,wallet,paid
13811,1381,2024-01-21,654.00,transfer,paid
13821,1382,2024-01-22,526.00,wallet,paid
13831,1383,2024-01-23,259.00,card,paid
13861,1386,2024-01-26,682.00,card,paid
13871,1387,2024-01-27,587.00,transfer,paid
13891,1389,2024-01-29,705.00,card,paid
13901,1390,2024-01-30,574.00,transfer,paid
13931,1393,2024-02-02,750.00,transfer,paid
13941,1394,2024-02-03,718.00,wallet,paid
13951,1395,2024-02-04,355.00,card,paid
13971,1397,2024-02-06,1105.00,wallet,paid
13981,1398,2024-02-07,634.00,card,paid
14011,1401,2024-02-10,609.00,card,paid
14021,1402,2024-02-11,406.00,transfer,paid
14031,1403,2024-02-12,422.00,wallet,paid
14051,1405,2024-02-14,846.00,transfer,paid
14071,1407,2024-02-16,331.00,card,paid
14101,1410,2024-02-19,466.00,card,paid
14111,1411,2024-02-20,467.00,transfer,paid
14141,1414,2024-02-23,718.00,transfer,paid
14151,1415,2024-02-24,350.00,wallet,paid
14171,1417,2024-02-26,942.00,transfer,paid
14181,1418,2024-02-27,502.00,wallet,paid
14191,1419,2024-02-28,187.00,card,paid
14211,1421,2024-03-01,601.00,wallet,paid
14221,1422,2024-03-02,538.00,card,paid
14231,1423,2024-03-03,467.00,transfer,paid
14291,1429,2024-03-09,678.00,transfer,paid
14301,1430,2024-03-10,574.00,wallet,paid
14311,1431,2024-03-11,283.00,card,paid
14331,1433,2024-03-13,889.00,wallet,paid
14351,1435,2024-03-15,587.00,transfer,paid
14371,1437,2024-03-17,681.00,card,paid
14381,1438,2024-03-18,622.00,transfer,paid
14391,1439,2024-03-19,326.00,wallet,paid
14451,1445,2024-03-25,817.00,wallet,paid
14461,1446,2024-03-26,682.00,card,paid
14471,1447,2024-03-27,587.00,transfer,paid
14491,1449,2024-03-29,705.00,card,paid
14501,1450,2024-03-30,574.00,transfer,paid
14511,1451,2024-03-31,254.00,wallet,paid
14531,1453,2024-04-02,750.00,transfer,paid
14541,1454,2024-04-03,718.00,wallet,paid
14571,1457,2024-04-06,1105.00,wallet,paid
14581,1458,2024-04-07,634.00,card,paid
14611,1461,2024-04-10,609.00,card,paid
14631,1463,2024-04-12,422.00,wallet,paid
14651,1465,2024-04-14,846.00,transfer,paid
14661,1466,2024-04-15,670.00,wallet,paid
14671,1467,2024-04-16,331.00,card,paid
14701,1470,2024-04-19,466.00,card,paid
14711,1471,2024-04-20,467.00,transfer,paid
14731,1473,2024-04-22,513.00,card,paid
14741,1474,2024-04-23,718.00,transfer,paid
14751,1475,2024-04-24,350.00,wallet,paid
14781,1478,2024-04-27,502.00,wallet,paid
14791,1479,2024-04-28,187.00,card,paid
14811,1481,2024-01-01,601.00,wallet,paid
14821,1482,2024-01-02,538.00,card,paid
14851,1485,2024-01-05,777.00,card,paid
14861,1486,2024-01-06,550.00,transfer,paid
14871,1487,2024-01-07,518.00,wallet,paid
14891,1489,2024-01-09,678.00,transfer,paid
14911,1491,2024-01-11,283.00,card,paid
14951,1495,2024-01-15,587.00,transfer,paid
14981,1498,2024-01-18,622.00,transfer,paid
14991,1499,2024-01-19,326.00,wallet,paid
15011,1501,2024-01-21,654.00,transfer,paid
15021,1502,2024-01-22,526.00,wallet,paid
15031,1503,2024-01-23,259.00,card,paid
15051,1505,2024-01-25,817.00,wallet,paid
15061,1506,2024-01-26,682.00,card,paid
15071,1507,2024-01-27,587.00,transfer,paid
15091,1509,2024-01-29,705.00,card,paid
15131,1513,2024-02-02,750.00,transfer,paid
15141,1514,2024-02-03,718.00,wallet,paid
15151,1515,2024-02-04,355.00,card,paid
15171,1517,2024-02-06,1105.00,wallet,paid
15191,1519,2024-02-08,347.00,transfer,paid
15211,1521,2024-02-10,609.00,card,paid
15221,1522,2024-02-11,406.00,transfer,paid
15231,1523,2024-02-12,422.00,wallet,paid
15261,1526,2024-02-15,670.00,wallet,paid
15291,1529,2024-02-18,913.00,wallet,paid
15301,1530,2024-02-19,466.00,card,paid
15311,1531,2024-02-20,467.00,transfer,paid
15331,1533,2024-02-22,513.00,card,paid
15341,1534,2024-02-23,718.00,transfer,paid
15351,1535,2024-02-24,350.00,wallet,paid
15371,1537,2024-02-26,942.00,transfer,paid
15381,1538,2024-02-27,502.00,wallet,paid
15411,1541,2024-03-01,601.00,wallet,paid
15421,1542,2024-03-02,538.00,card,paid
15431,1543,2024-03-03,467.00,transfer,paid
15471,1547,2024-03-07,518.00,wallet,paid
15491,1549,2024-03-09,678.00,transfer,paid
15501,1550,2024-03-10,574.00,wallet,paid
15511,1551,2024-03-11,283.00,card,paid
15541,1554,2024-03-14,610.00,card,paid
15551,1555,2024-03-15,587.00,transfer,paid
15571,1557,2024-03-17,681.00,card,paid
15581,1558,2024-03-18,622.00,transfer,paid
15591,1559,2024-03-19,326.00,wallet,paid
15631,1563,2024-03-23,259.00,card,paid
15651,1565,2024-03-25,817.00,wallet,paid
15661,1566,2024-03-26,682.00,card,paid
15691,1569,2024-03-29,705.00,card,paid
15701,1570,2024-03-30,574.00,transfer,paid
15711,1571,2024-03-31,254.00,wallet,paid
15731,1573,2024-04-02,750.00,transfer,paid
15751,1575,2024-04-04,355.00,card,paid
15771,1577,2024-04-06,1105.00,wallet,paid
15821,1582,2024-04-11,406.00,transfer,paid
15831,1583,2024-04-12,422.00,wallet,paid
15851,1585,2024-04-14,846.00,transfer,paid
15861,1586,2024-04-15,670.00,wallet,paid
15871,1587,2024-04-16,331.00,card,paid
15891,1589,2024-04-18,913.00,wallet,paid
15901,1590,2024-04-19,466.00,card,paid
15911,1591,2024-04-20,467.00,transfer,paid
15931,1593,2024-04-22,513.00,card,paid
15941,1594,2024-04-23,718.00,transfer,paid
15971,1597,2024-04-26,942.00,transfer,paid
15981,1598,2024-04-27,502.00,wallet,paid
15991,1599,2024-04-28,187.00,card,paid
16011,1601,2024-01-01,601.00,wallet,paid
16031,1603,2024-01-03,467.00,transfer,paid
16051,1605,2024-01-05,777.00,card,paid
16061,1606,2024-01-06,550.00,transfer,paid
16071,1607,2024-01-07,518.00,wallet,paid
16101,1610,2024-01-10,574.00,wallet,paid
16111,1611,2024-01-11,283.00,card,paid
16141,1614,2024-01-14,610.00,card,paid
16151,1615,2024-01-15,587.00,transfer,paid
16171,1617,2024-01-17,681.00,card,paid
16181,1618,2024-01-18,622.00,transfer,paid
16191,1619,2024-01-19,326.00,wallet,paid
16211,1621,2024-01-21,654.00,transfer,paid
16221,1622,2024-01-22,526.00,wallet,paid
16251,1625,2024-01-25,817.00,wallet,paid
16261,1626,2024-01-26,682.00,card,paid
16271,1627,2024-01-27,587.00,transfer,paid
16311,1631,2024-01-31,254.00,wallet,paid
16331,1633,2024-02-02,750.00,transfer,paid
16341,1634,2024-02-03,718.00,wallet,paid
16351,1635,2024-02-04,355.00,card,paid
16381,1638,2024-02-07,634.00,card,paid
16391,1639,2024-02-08,347.00,transfer,paid
16411,1641,2024-02-10,609.00,card,paid
16421,1642,2024-02-11,406.00,transfer,paid
16431,1643,2024-02-12,422.00,wallet,paid
16451,1645,2024-02-14,846.00,transfer,paid
16491,1649,2024-02-18,913.00,wallet,paid
16501,1650,2024-02-19,466.00,card,paid
16531,1653,2024-02-22,513.00,card,paid
16541,1654,2024-02-23,718.00,transfer,paid
16551,1655,2024-02-24,350.00,wallet,paid
16571,1657,2024-02-26,942.00,transfer,paid
16591,1659,2024-02-28,187.00,card,paid
16611,1661,2024-03-01,601.00,wallet,paid
16621,1662,2024-03-02,538.00,card,paid
16661,1666,2024-03-06,550.00,transfer,paid
16671,1667,2024-03-07,518.00,wallet,paid
16691,1669,2024-03-09,678.00,transfer,paid
16701,1670,2024-03-10,574.00,wallet,paid
16711,1671,2024-03-11,283.00,card,paid
16731,1673,2024-03-13,889.00,wallet,paid
16741,1674,2024-03-14,610.00,card,paid
16751,1675,2024-03-15,587.00,transfer,paid
16771,1677,2024-03-17,681.00,card,paid
16781,1678,2024-03-18,622.00,transfer,paid
16821,1682,2024-03-22,526.00,wallet,paid
16831,1683,2024-03-23,259.00,card,paid
16851,1685,2024-03-25,817.00,wallet,paid
16871,1687,2024-03-27,587.00,transfer,paid
16891,1689,2024-03-29,705.00,card,paid
16901,1690,2024-03-30,574.00,transfer,paid
16911,1691,2024-03-31,254.00,wallet,paid
16941,1694,2024-04-03,718.00,wallet,paid
16951,1695,2024-04-04,355.00,card,paid
16991,1699,2024-04-08,347.00,transfer,paid
17011,1701,2024-04-10,609.00,card,paid
17021,1702,2024-04-11,406.00,transfer,paid
17031,1703,2024-04-12,422.00,wallet,paid
17051,1705,2024-04-14,846.00,transfer,paid
17061,1706,2024-04-15,670.00,wallet,paid
17091,1709,2024-04-18,913.00,wallet,paid
17101,1710,2024-04-19,466.00,card,paid
17111,1711,2024-04-20,467.00,transfer,paid
17131,1713,2024-04-22,513.00,card,paid
17171,1717,2024-04-26,942.00,transfer,paid
17181,1718,2024-04-27,502.00,wallet,paid
17191,1719,2024-04-28,187.00,card,paid
17221,1722,2024-01-02,538.00,card,paid
17231,1723,2024-01-03,467.00,transfer,paid
17251,1725,2024-01-05,777.00,card,paid
17261,1726,2024-01-06,550.00,transfer,paid
17271,1727,2024-01-07,518.00,wallet,paid
17291,1729,2024-01-09,678.00,transfer,paid
17301,1730,2024-01-10,574.00,wallet,paid
17331,1733,2024-01-13,889.00,wallet,paid
17341,1734,2024-01-14,610.00,card,paid
17371,1737,2024-01-17,681.00,card,paid
17381,1738,2024-01-18,622.00,transfer,paid
17391,1739,2024-01-19,326.00,wallet,paid
17411,1741,2024-01-21,654.00,transfer,paid
17431,1743,2024-01-23,259.00,card,paid
17451,1745,2024-01-25,817.00,wallet,paid
17461,1746,2024-01-26,682.00,card,paid
17471,1747,2024-01-27,587.00,transfer,paid
17501,1750,2024-01-30,574.00,transfer,paid
17511,1751,2024-01-31,254.00,wallet,paid
17531,1753,2024-02-02,750.00,transfer,paid
17541,1754,2024-02-03,718.00,wallet,paid
17551,1755,2024-02-04,355.00,card,paid
17571,1757,2024-02-06,1105.00,wallet,paid
17581,1758,2024-02-07,634.00,card,paid
17591,1759,2024-02-08,347.00,transfer,paid
17611,1761,2024-02-10,609.00,card,paid
17621,1762,2024-02-11,406.00,transfer,paid
17671,1767,2024-02-16,331.00,card,paid
17691,1769,2024-02-18,913.00,wallet,paid
17711,1771,2024-02-20,467.00,transfer,paid
17731,1773,2024-02-22,513.00,card,paid
17741,1774,2024-02-23,718.00,transfer,paid
17751,1775,2024-02-24,350.00,wallet,paid
17781,1778,2024-02-27,502.00,wallet,paid
17791,1779,2024-02-28,187.00,card,paid
17811,1781,2024-03-01,601.00,wallet,paid
17851,1785,2024-03-05,777.00,card,paid
17861,1786,2024-03-06,550.00,transfer,paid
17871,1787,2024-03-07,518.00,wallet,paid
17891,1789,2024-03-09,678.00,transfer,paid
17901,1790,2024-03-10,574.00,wallet,paid
17931,1793,2024-03-13,889.00,wallet,paid
17941,1794,2024-03-14,610.00,card,paid
17951,1795,2024-03-15,587.00,transfer,paid
17971,1797,2024-03-17,681.00,card,paid
18011,1801,2024-03-21,654.00,transfer,paid
18021,1802,2024-03-22,526.00,wallet,paid
18031,1803,2024-03-23,259.00,card,paid
18061,1806,2024-03-26,682.00,card,paid
18071,1807,2024-03-27,587.00,transfer,paid
18091,1809,2024-03-29,705.00,card,paid
18101,1810,2024-03-30,574.00,transfer,paid
18111,1811,2024-03-31,254.00,wallet,paid
18131,1813,2024-04-02,750.00,transfer,paid
18141,1814,2024-04-03,718.00,wallet,paid
18151,1815,2024-04-04,355.00,card,paid
18181,1818,2024-04-07,634.00,card,paid
18211,1821,2024-04-10,609.00,card,paid
18221,1822,2024-04-11,406.00,transfer,paid
18231,1823,2024-04-12,422.00,wallet,paid
18251,1825,2024-04-14,846.00,transfer,paid
18271,1827,2024-04-16,331.00,card,paid
18291,1829,2024-04-18,913.00,wallet,paid
18301,1830,2024-04-19,466.00,card,paid
18311,1831,2024-04-20,467.00,transfer,paid
18351,1835,2024-04-24,350.00,wallet,paid
18371,1837,2024-04-26,942.00,transfer,paid
18381,1838,2024-04-27,502.00,wallet,paid
18391,1839,2024-04-28,187.00,card,paid
18411,1841,2024-01-01,601.00,wallet,paid
18421,1842,2024-01-02,538.00,card,paid
18431,1843,2024-01-03,467.00,transfer,paid
18451,1845,2024-01-05,777.00,card,paid
18461,1846,2024-01-06,550.00,transfer,paid
18491,1849,2024-01-09,678.00,transfer,paid
18531,1853,2024-01-13,889.00,wallet,paid
18551,1855,2024-01-15,587.00,transfer,paid
18571,1857,2024-01-17,681.00,card,paid
18581,1858,2024-01-18,622.00,transfer,paid
18591,1859,2024-01-19,326.00,wallet,paid
18621,1862,2024-01-22,526.00,wallet,paid
18631,1863,2024-01-23,259.00,card,paid
18651,1865,2024-01-25,817.00,wallet,paid
18661,1866,2024-01-26,682.00,card,paid
18691,1869,2024-01-29,705.00,card,paid
18701,1870,2024-01-30,574.00,transfer,paid
18711,1871,2024-01-31,254.00,wallet,paid
18731,1873,2024-02-02,750.00,transfer,paid
18741,1874,2024-02-03,718.00,wallet,paid
18771,1877,2024-02-06,1105.00,wallet,paid
18781,1878,2024-02-07,634.00,card,paid
18791,1879,2024-02-08,347.00,transfer,paid
18811,1881,2024-02-10,609.00,card,paid
18831,1883,2024-02-12,422.00,wallet,paid
18861,1886,2024-02-15,670.00,wallet,paid
18871,1887,2024-02-16,331.00,card,paid
18901,1890,2024-02-19,466.00,card,paid
18911,1891,2024-02-20,467.00,transfer,paid
18931,1893,2024-02-22,513.00,card,paid
18941,1894,2024-02-23,718.00,transfer,paid
18951,1895,2024-02-24,350.00,wallet,paid
18971,1897,2024-02-26,942.00,transfer,paid
18981,1898,2024-02-27,502.00,wallet,paid
18991,1899,2024-02-28,187.00,card,paid
19051,1905,2024-03-05,777.00,card,paid
19061,1906,2024-03-06,550.00,transfer,paid
19071,1907,2024-03-07,518.00,wallet,paid
19091,1909,2024-03-09,678.00,transfer,paid
19111,1911,2024-03-11,283.00,card,paid
19131,1913,2024-03-13,889.00,wallet,paid
19141,1914,2024-03-14,610.00,card,paid
19151,1915,2024-03-15,587.00,transfer,paid
19211,1921,2024-03-21,654.00,transfer,paid
19221,1922,2024-03-22,526.00,wallet,paid
19231,1923,2024-03-23,259.00,card,paid
19251,1925,2024-03-25,817.00,wallet,paid
19261,1926,2024-03-26,682.00,card,paid
19271,1927,2024-03-27,587.00,transfer,paid
19291,1929,2024-03-29,705.00,card,paid
19301,1930,2024-03-30,574.00,transfer,paid
19331,1933,2024-04-02,750.00,transfer,paid
19341,1934,2024-04-03,718.00,wallet,paid
19371,1937,2024-04-06,1105.00,wallet,paid
19391,1939,2024-04-08,347.00,transfer,paid
19411,1941,2024-04-10,609.00,card,paid
19421,1942,2024-04-11,406.00,transfer,paid
19431,1943,2024-04-12,422.00,wallet,paid
19461,1946,2024-04-15,670.00,wallet,paid
19471,1947,2024-04-16,331.00,card,paid
19491,1949,2024-04-18,913.00,wallet,paid
19501,1950,2024-04-19,466.00,card,paid
19511,1951,2024-04-20,467.00,transfer,paid
19541,1954,2024-04-23,718.00,transfer,paid
19551,1955,2024-04-24,350.00,wallet,paid
19571,1957,2024-04-26,942.00,transfer,paid
19581,1958,2024-04-27,502.00,wallet,paid
19611,1961,2024-01-01,601.00,wallet,paid
19621,1962,2024-01-02,538.00,card,paid
19631,1963,2024-01-03,467.00,transfer,paid
19651,1965,2024-01-05,777.00,card,paid
19671,1967,2024-01-07,518.00,wallet,paid
19711,1971,2024-01-11,283.00,card,paid
19741,1974,2024-01-14,610.00,card,paid
19751,1975,2024-01-15,587.00,transfer,paid
19771,1977,2024-01-17,681.00,card,paid
19781,1978,2024-01-18,622.00,transfer,paid
19791,1979,2024-01-19,326.00,wallet,paid
19811,1981,2024-01-21,654.00,transfer,paid
19821,1982,2024-01-22,526.00,wallet,paid
19831,1983,2024-01-23,259.00,card,paid
19851,1985,2024-01-25,817.00,wallet,paid
19891,1989,2024-01-29,705.00,card,paid
19901,1990,2024-01-30,574.00,transfer,paid
19911,1991,2024-01-31,254.00,wallet,paid
19931,1993,2024-02-02,750.00,transfer,paid
19951,1995,2024-02-04,355.00,card,paid
19971,1997,2024-02-06,1105.00,wallet,paid
19981,1998,2024-02-07,634.00,card,paid
19991,1999,2024-02-08,347.00,transfer,paid
10041,1004,2024-01-04,275.40,card,paid
10081,1008,2024-01-08,28.20,card,paid
10121,1012,2024-01-12,91.20,card,paid
10161,1016,2024-01-16,189.00,card,paid
10201,1020,2024-01-20,71.40,card,paid
10241,1024,2024-01-24,177.60,card,paid
10321,1032,2024-02-01,42.60,card,paid
10361,1036,2024-02-05,120.00,card,paid
10401,1040,2024-02-09,232.20,card,paid
10441,1044,2024-02-13,85.80,card,paid
10481,1048,2024-02-17,62.40,card,paid
10601,1060,2024-02-29,148.80,card,paid
10641,1064,2024-03-04,275.40,card,paid
10721,1072,2024-03-12,91.20,card,paid
10761,1076,2024-03-16,189.00,card,paid
10801,1080,2024-03-20,71.40,card,paid
10881,1088,2024-03-28,102.60,card,paid
10921,1092,2024-04-01,42.60,card,paid
10961,1096,2024-04-05,120.00,card,paid
11001,1100,2024-04-09,232.20,card,paid
11041,1104,2024-04-13,85.80,card,paid
11081,1108,2024-04-17,62.40,card,paid
11161,1116,2024-04-25,57.00,card,paid
11241,1124,2024-01-04,275.40,card,paid
11281,1128,2024-01-08,28.20,card,paid
11321,1132,2024-01-12,91.20,card,paid
11441,1144,2024-01-24,177.60,card,paid
11481,1148,2024-01-28,102.60,card,paid
11521,1152,2024-02-01,42.60,card,paid
11561,1156,2024-02-05,120.00,card,paid
11601,1160,2024-02-09,232.20,card,paid
